No.,チャンネル,動画番号,動画ID,YouTubeID,タイトル,台本,台本番号,作成フラグ,進捗,品質チェック結果,文字数,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,更新日時,音声整形,音声検証,音声生成,音声品質,DALL-Eプロンプト（URL・テキスト指示込み）,台本パス,悩みタグ_メイン,悩みタグ_サブ,ライフシーン,キーコンセプト,ベネフィット一言,たとえ話イメージ,説明文_リード,説明文_この動画でわかること,台本型,史実エピソード候補
11,CH01,11,CH01-011,9MrWopU64mw,すぐに人から好かれる方法 | 仏教の教え #ブッダ,workspaces/scripts/CH01/011/content/assembled.md,,,投稿済み,,6701,,,,,,,,"Feb 28, 2024",,,,,,workspaces/scripts/CH01/011/content/assembled.md,,,,,,,,,kata3,
12,CH01,12,CH01-012,IPifo9Ct4Nw,心のモヤモヤをポッと消す、ブッダの秘密テクニック | 仏教の教え,workspaces/scripts/CH01/012/content/assembled.md,,,投稿済み,,6890,,,,,,,,"Feb 28, 2024",,,,,,workspaces/scripts/CH01/012/content/assembled.md,,,,,,,,,kata2,
13,CH01,13,CH01-013,cCaTJaSua7o,心配せずとも全てがうまくいく方法 | ブッダの教え,workspaces/scripts/CH01/013/content/assembled.md,,,投稿済み,,5548,,,,,,,,"Mar 3, 2024",,,,,,workspaces/scripts/CH01/013/content/assembled.md,,,,,,,,,kata3,
14,CH01,14,CH01-014,rPjg0iQYr58,うつ病の克服 | ブッダの教え,workspaces/scripts/CH01/014/content/assembled.md,,,投稿済み,,5515,,,,,,,,"Mar 5, 2024",,,,,,workspaces/scripts/CH01/014/content/assembled.md,,,,,,,,,kata2,
15,CH01,15,CH01-015,L36YHI6LZDo,全ての悩みから解放 #shorts #人生 #捉え方 #ブッダの教え,workspaces/scripts/CH01/015/content/assembled.md,,,投稿済み,,5680,,,,,,,,"Mar 6, 2024",,,,,,workspaces/scripts/CH01/015/content/assembled.md,,,,,,,,,kata1,
16,CH01,16,CH01-016,9gWg4Tgzwr8,心の灯り #ブッダの教え #名言 #仏教,workspaces/scripts/CH01/016/content/assembled.md,,,投稿済み,,5449,,,,,,,,"Mar 7, 2024",,,,,,workspaces/scripts/CH01/016/content/assembled.md,,,,,,,,,kata1,
17,CH01,17,CH01-017,kBTNbdyt5xk,「心の健康」手に入れませんか？  #ブッダの教え #人生 #ブッダの言葉 #shorts,workspaces/scripts/CH01/017/content/assembled.md,,,投稿済み,,5581,,,,,,,,"Mar 14, 2024",,,,,,workspaces/scripts/CH01/017/content/assembled.md,,,,,,,,,kata2,
18,CH01,18,CH01-018,FOulLpUtNos,本当の自由を手に入れる #shorts #ブッダの教え #人生 #ブッダの言葉,workspaces/scripts/CH01/018/content/assembled.md,,,投稿済み,,5416,,,,,,,,"Mar 14, 2024",,,,,,workspaces/scripts/CH01/018/content/assembled.md,,,,,,,,,kata3,
19,CH01,19,CH01-019,a_e-LzZlClk,観察する / ヴィパッサナー瞑想  #ブッダの教え #人生 #ブッダの言葉 #shorts,workspaces/scripts/CH01/019/content/assembled.md,,,投稿済み,,5647,,,,,,,,"Mar 15, 2024",,,,,,workspaces/scripts/CH01/019/content/assembled.md,,,,,,,,,kata3,
20,CH01,20,CH01-020,9lCsFbADsNE,笑顔の法則 #ブッダの教え #人生 #ブッダの言葉 #shorts,workspaces/scripts/CH01/020/content/assembled.md,,,投稿済み,,5779,,,,,,,,"Mar 15, 2024",,,,,,workspaces/scripts/CH01/020/content/assembled.md,,,,,,,,,kata3,
21,CH01,21,CH01-021,LS5mYjl60gY,究極の快楽 #shorts  #ブッダの教え #人生 #ブッダの言葉,workspaces/scripts/CH01/021/content/assembled.md,,,投稿済み,,5482,,,,,,,,"Mar 16, 2024",,,,,,workspaces/scripts/CH01/021/content/assembled.md,,,,,,,,,kata3,
22,CH01,22,CH01-022,9VYxrnxX5mk,忘れられた財布と発見された幸せ | ブッダの教え,workspaces/scripts/CH01/022/content/assembled.md,,,投稿済み,,5548,,,,,,,,"Mar 18, 2024",,,,,,workspaces/scripts/CH01/022/content/assembled.md,,,,,,,,,kata2,
23,CH01,23,CH01-023,Kt-l-TkNwiM,もやもやの原因は目の前にあります | ブッダの教え,workspaces/scripts/CH01/023/content/assembled.md,,,投稿済み,,5581,,,,,,,,"Mar 18, 2024",,,,,,workspaces/scripts/CH01/023/content/assembled.md,,,,,,,,,kata3,
24,CH01,24,CH01-024,T59pcCBscpg,考えすぎてしまう人の対処法 | ブッダの教え,workspaces/scripts/CH01/024/content/assembled.md,,,投稿済み,,5548,,,,,,,,"Mar 19, 2024",,,,,,workspaces/scripts/CH01/024/content/assembled.md,,,,,,,,,kata2,
25,CH01,25,CH01-025,bEvrDQVpnYg,好きな人だけでいい | ブッダの教え,workspaces/scripts/CH01/025/content/assembled.md,,,投稿済み,,5647,,,,,,,,"Mar 20, 2024",,,,,,workspaces/scripts/CH01/025/content/assembled.md,,,,,,,,,kata3,
26,CH01,26,CH01-026,n4qit-xx72E,いい男といい女の条件 | ブッダの教え,workspaces/scripts/CH01/026/content/assembled.md,,,投稿済み,,5680,,,,,,,,"Mar 21, 2024",,,,,,workspaces/scripts/CH01/026/content/assembled.md,,,,,,,,,kata1,
27,CH01,27,CH01-027,6srVwLL0ORI,悔いのない人生を送る方法 | ブッダの教え,workspaces/scripts/CH01/027/content/assembled.md,,,投稿済み,,5548,,,,,,,,"Mar 22, 2024",,,,,,workspaces/scripts/CH01/027/content/assembled.md,,,,,,,,,kata3,
28,CH01,28,CH01-028,TOPAkRtP0G0,自分を責めないでください | ブッダの教え,workspaces/scripts/CH01/028/content/assembled.md,,,投稿済み,,5482,,,,,,,,"Mar 23, 2024",,,,,,workspaces/scripts/CH01/028/content/assembled.md,,,,,,,,,kata2,
29,CH01,29,CH01-029,I2Xm99misQY,【３つの鏡の法則】他人に縛られず幸せに生きる方法 | ブッダの教え,workspaces/scripts/CH01/029/content/assembled.md,,,投稿済み,,5581,,,,,,,,"Mar 24, 2024",,,,,,workspaces/scripts/CH01/029/content/assembled.md,,,,,,,,,kata2,
30,CH01,30,CH01-030,LsjCYPQTPHs,残りの人生をどう生きるか | ブッダの教え,workspaces/scripts/CH01/030/content/assembled.md,,,投稿済み,,5482,,,,,,,,"Mar 26, 2024",,,,,,workspaces/scripts/CH01/030/content/assembled.md,,,,,,,,,kata3,
31,CH01,31,CH01-031,v0YhRk_55jQ,もう苦しみません | ブッダの教え,workspaces/scripts/CH01/031/content/assembled.md,,,投稿済み,,5680,,,,,,,,"Mar 26, 2024",,,,,,workspaces/scripts/CH01/031/content/assembled.md,,,,,,,,,kata1,
32,CH01,32,CH01-032,mrGPWo0E0ZA,恥を知る人はお酒を飲まない | ブッダの教え,workspaces/scripts/CH01/032/content/assembled.md,,,投稿済み,,5581,,,,,,,,"Mar 28, 2024",,,,,,workspaces/scripts/CH01/032/content/assembled.md,,,,,,,,,kata3,
33,CH01,33,CH01-033,O4bsj5hOk-E,呼吸で一番大切なこと | ブッダの教え,workspaces/scripts/CH01/033/content/assembled.md,,,投稿済み,,5845,,,,,,,,"Mar 29, 2024",,,,,,workspaces/scripts/CH01/033/content/assembled.md,,,,,,,,,kata1,
34,CH01,34,CH01-034,qcGxRivOq6E,怒りは最強の自傷行為です | ブッダの教え,workspaces/scripts/CH01/034/content/assembled.md,,,投稿済み,,5548,,,,,,,,"Mar 31, 2024",,,,,,workspaces/scripts/CH01/034/content/assembled.md,,,,,,,,,kata3,
35,CH01,35,CH01-035,oc_Ji1BvTAU,ブッダが教えた本当のやさしさとは,workspaces/scripts/CH01/035/content/assembled.md,,,投稿済み,,5713,,,,,,,,"Apr 1, 2024",,,,,,workspaces/scripts/CH01/035/content/assembled.md,,,,,,,,,kata3,
36,CH01,36,CH01-036,k1QNaSoE0Oc,もう怠けません | ブッダの教え【衝撃の結末】,workspaces/scripts/CH01/036/content/assembled.md,,,投稿済み,,4195,,,,,,,,"Apr 1, 2024",,,,,,workspaces/scripts/CH01/036/content/assembled.md,,,,,,,,,kata2,
37,CH01,37,CH01-037,KWvDIuDZ-VQ,避けられない苦しみはどう対処するか | ブッダの教え,workspaces/scripts/CH01/037/content/assembled.md,,,投稿済み,,5680,,,,,,,,"Apr 2, 2024",,,,,,workspaces/scripts/CH01/037/content/assembled.md,,,,,,,,,kata2,
38,CH01,38,CH01-038,MNQ84yxRwY0,なぜか疲れがどっと出る人へ | ブッダの教え,workspaces/scripts/CH01/038/content/assembled.md,,,投稿済み,,5614,,,,,,,,"Apr 4, 2024",,,,,,workspaces/scripts/CH01/038/content/assembled.md,,,,,,,,,kata1,
39,CH01,39,CH01-039,SGxFsO1gVpU,執着を手放す | ブッダの教え,workspaces/scripts/CH01/039/content/assembled.md,,,投稿済み,,5449,,,,,,,,"Apr 5, 2024",,,,,,workspaces/scripts/CH01/039/content/assembled.md,,,,,,,,,kata2,
40,CH01,40,CH01-040,jR2sWO8xAKE,「年をとる」のは素敵なこと | ブッダの教え,workspaces/scripts/CH01/040/content/assembled.md,,,投稿済み,,5548,,,,,,,,"Apr 8, 2024",,,,,,workspaces/scripts/CH01/040/content/assembled.md,,,,,,,,,kata2,
41,CH01,41,CH01-041,nWpM8KZvgDM,相手を魂レベルで喜ばせる方法 | ブッダの教え,workspaces/scripts/CH01/041/content/assembled.md,,,投稿済み,,4195,,,,,,,,"Apr 13, 2024",,,,,,workspaces/scripts/CH01/041/content/assembled.md,,,,,,,,,kata1,
42,CH01,42,CH01-042,PVMAMYJxC7Y,最高の人間関係を築く『魔法の一言』とは？ | ブッダの教え,workspaces/scripts/CH01/042/content/assembled.md,,,投稿済み,,5713,,,,,,,,"Apr 15, 2024",,,,,,workspaces/scripts/CH01/042/content/assembled.md,,,,,,,,,kata1,
43,CH01,43,CH01-043,mrZV69uzFFo,人生の定年はありません | 禅の教え,workspaces/scripts/CH01/043/content/assembled.md,,,投稿済み,,5581,,,,,,,,"Apr 17, 2024",,,,,,workspaces/scripts/CH01/043/content/assembled.md,,,,,,,,,kata3,
44,CH01,44,CH01-044,wWyrhQPLwCY,自分の「ものさし」で生きるとは？ | ブッダの教え,workspaces/scripts/CH01/044/content/assembled.md,,,投稿済み,,4195,,,,,,,,"Apr 18, 2024",,,,,,workspaces/scripts/CH01/044/content/assembled.md,,,,,,,,,kata2,
45,CH01,45,CH01-045,cvQJD3v0X_0,何か忘れていませんか？ | ブッダの教え,workspaces/scripts/CH01/045/content/assembled.md,,,投稿済み,,5548,,,,,,,,"Apr 19, 2024",,,,,,workspaces/scripts/CH01/045/content/assembled.md,,,,,,,,,kata1,
46,CH01,46,CH01-046,paovk_GXcT4,お金に振り回されないように | ブッダの教え,workspaces/scripts/CH01/046/content/assembled.md,,,投稿済み,,51,,,,,,,,"Apr 21, 2024",,,,,,workspaces/scripts/CH01/046/content/assembled.md,,,,,,,,,kata1,
47,CH01,47,CH01-047,uX6COnm_Ydc,最近笑っていますか？ | ブッダの教え,workspaces/scripts/CH01/047/content/assembled.md,,,投稿済み,,48,,,,,,,,"Apr 22, 2024",,,,,,workspaces/scripts/CH01/047/content/assembled.md,,,,,,,,,kata3,
48,CH01,48,CH01-048,8bc3d7Gnc-4,与えても報われない人の特徴 | ブッダの教え,workspaces/scripts/CH01/048/content/assembled.md,,,投稿済み,,51,,,,,,,,"Apr 28, 2024",,,,,,workspaces/scripts/CH01/048/content/assembled.md,,,,,,,,,kata3,
49,CH01,49,CH01-049,iHs89mUtns8,孤独と孤独感の違い | ブッダの教え,workspaces/scripts/CH01/049/content/assembled.md,,,投稿済み,,47,,,,,,,,"Apr 29, 2024",,,,,,workspaces/scripts/CH01/049/content/assembled.md,,,,,,,,,kata1,
50,CH01,50,CH01-050,_yL45293fFM,『ありがとう』で人生うまくいく | ブッダの教え,workspaces/scripts/CH01/050/content/assembled.md,,,投稿済み,,53,,,,,,,,"May 1, 2024",,,,,,workspaces/scripts/CH01/050/content/assembled.md,,,,,,,,,kata3,
51,CH01,51,CH01-051,xsSs1quWiYg,他人の目は無視でいい | ブッダの教え,workspaces/scripts/CH01/051/content/assembled.md,,,投稿済み,,48,,,,,,,,"May 5, 2024",,,,,,workspaces/scripts/CH01/051/content/assembled.md,,,,,,,,,kata1,
52,CH01,52,CH01-052,N_5CLDSGLA4,気疲れしてしまう人へ | ブッダの教え,workspaces/scripts/CH01/052/content/assembled.md,,,投稿済み,,48,,,,,,,,"May 9, 2024",,,,,,workspaces/scripts/CH01/052/content/assembled.md,,,,,,,,,kata3,
53,CH01,53,CH01-053,eBuK6BfLmGY,自己否定に勝つ３つの方法 | ブッダの教え,workspaces/scripts/CH01/053/content/assembled.md,,,投稿済み,,50,,,,,,,,"May 15, 2024",,,,,,workspaces/scripts/CH01/053/content/assembled.md,,,,,,,,,kata2,
54,CH01,54,CH01-054,4Z3kPJLfo4o,良好な人間関係を築く | ブッダの教え,workspaces/scripts/CH01/054/content/assembled.md,,,投稿済み,,48,,,,,,,,"May 23, 2024",,,,,,workspaces/scripts/CH01/054/content/assembled.md,,,,,,,,,kata1,
55,CH01,55,CH01-055,M2vaiv1qRlQ,本当の自分を理解していますか？ | ブッダの教え,workspaces/scripts/CH01/055/content/assembled.md,,,投稿済み,,53,,,,,,,,"May 25, 2024",,,,,,workspaces/scripts/CH01/055/content/assembled.md,,,,,,,,,kata1,
56,CH01,56,CH01-056,b4Youk309Gw,これで敵は消滅します | ブッダの教え,workspaces/scripts/CH01/056/content/assembled.md,,,投稿済み,,48,,,,,,,,"May 28, 2024",,,,,,workspaces/scripts/CH01/056/content/assembled.md,,,,,,,,,kata1,
57,CH01,57,CH01-057,_v4W9cPu2W0,【衝撃】占いが危険な理由 | ブッダの教え,workspaces/scripts/CH01/057/content/assembled.md,,,投稿済み,,50,,,,,,,,"May 31, 2024",,,,,,workspaces/scripts/CH01/057/content/assembled.md,,,,,,,,,kata2,
58,CH01,58,CH01-058,ApfgRW7iS88,【舐められます】他人に言ってはいけない７つの事 | ブッダの教え,workspaces/scripts/CH01/058/content/assembled.md,,,投稿済み,,61,,,,,,,,"Jun 2, 2024",,,,,,workspaces/scripts/CH01/058/content/assembled.md,,,,,,,,,kata3,
59,CH01,59,CH01-059,aHgfTgPG7iI,避けられない苦しみとどう向き合うか | ブッダの教え,workspaces/scripts/CH01/059/content/assembled.md,,,投稿済み,,55,,,,,,,,"Jun 4, 2024",,,,,,workspaces/scripts/CH01/059/content/assembled.md,,,,,,,,,kata2,
60,CH01,60,CH01-060,xC_2ABBGfHI,まともな人が孤独（ぼっち）な理由 | ブッダの教え,workspaces/scripts/CH01/060/content/assembled.md,,,投稿済み,,54,,,,,,,,"Jun 19, 2024",,,,,,workspaces/scripts/CH01/060/content/assembled.md,,,,,,,,,kata3,
61,CH01,61,CH01-061,REGFY9Bj9mk,【お金の悩み】こう考えれば解決します | ブッダの教え,workspaces/scripts/CH01/061/content/assembled.md,,,投稿済み,,56,,,,,,,,"Jun 21, 2024",,,,,,workspaces/scripts/CH01/061/content/assembled.md,,,,,,,,,kata3,
62,CH01,62,CH01-062,3NVl9dnKgPo,【完全理解】9割が知らない死後の世界 | ブッダの教え【カルマ】,workspaces/scripts/CH01/062/content/assembled.md,,,投稿済み,,61,,,,,,,,"Jun 25, 2024",,,,,,workspaces/scripts/CH01/062/content/assembled.md,,,,,,,,,kata1,
63,CH01,63,CH01-063,JEytCYl2rp0,賢い人と愚かな人の違い | ブッダの教え,workspaces/scripts/CH01/063/content/assembled.md,,,投稿済み,,49,,,,,,,,"Jul 5, 2024",,,,,,workspaces/scripts/CH01/063/content/assembled.md,,,,,,,,,kata1,
64,CH01,64,CH01-064,oIgDIwyCkgk,乱れた心を整える方法 | ブッダの教え【禅と仏教の知恵】,workspaces/scripts/CH01/064/content/assembled.md,,,投稿済み,,57,,,,,,,,"Jul 10, 2024",,,,,,workspaces/scripts/CH01/064/content/assembled.md,,,,,,,,,kata2,
65,CH01,65,CH01-065,u49eLGjA-2M,【心温まる】「ありがとう」の驚きの語源を知ってますか？ | ブッダの教え,workspaces/scripts/CH01/065/content/assembled.md,,,投稿済み,,65,,,,,,,,"Jul 12, 2024",,,,,,workspaces/scripts/CH01/065/content/assembled.md,,,,,,,,,kata3,
66,CH01,66,CH01-066,ST32KuZv3ks,【必見】人格と性格を良くする方法  | ブッダの教え  【50歳からでも遅くない人間関係】,workspaces/scripts/CH01/066/content/assembled.md,,,投稿済み,,71,,,,,,,,"Jul 14, 2024",,,,,,workspaces/scripts/CH01/066/content/assembled.md,,,,,,,,,kata1,
67,CH01,67,CH01-067,rqSi3T7NS5c,【人間関係】「怒る」と「叱る」の明確な違い | ブッダの教え【仏もキレるのか？】,workspaces/scripts/CH01/067/content/assembled.md,,,投稿済み,,69,,,,,,,,"Jul 17, 2024",,,,,,workspaces/scripts/CH01/067/content/assembled.md,,,,,,,,,kata2,
68,CH01,68,CH01-068,TP0cMLAhyhI,【あなたはどのタイプ？】４種類の人間のうち正解はこれ | ブッダの教え,workspaces/scripts/CH01/068/content/assembled.md,,,投稿済み,,64,,,,,,,,"Jul 19, 2024",,,,,,workspaces/scripts/CH01/068/content/assembled.md,,,,,,,,,kata1,
69,CH01,69,CH01-069,uIvEl-1WiJU,【完全理解】湧き出る欲望をコントロールする方法６選 | ブッダの教え,workspaces/scripts/CH01/069/content/assembled.md,,,投稿済み,,63,,,,,,,,"Jul 24, 2024",,,,,,workspaces/scripts/CH01/069/content/assembled.md,,,,,,,,,kata1,
70,CH01,70,CH01-070,bBGR3-WcDlc,これを忘れない人は嫌われる | ブッダの教え,workspaces/scripts/CH01/070/content/assembled.md,,,投稿済み,,51,,,,,,,,"Jul 28, 2024",,,,,,workspaces/scripts/CH01/070/content/assembled.md,,,,,,,,,kata3,
71,CH01,71,CH01-071,i0jnFxDTldg,【必見】これを捨てれば人生が好転する | ブッダの教え | 禅語,workspaces/scripts/CH01/071/content/assembled.md,,,投稿済み,,59,,,,,,,,"Jul 31, 2024",,,,,,workspaces/scripts/CH01/071/content/assembled.md,,,,,,,,,kata1,
72,CH01,72,CH01-072,No_skCCr4g8,仏教が教える本当の優しさとは | ブッダの教え【目からウロコ】,workspaces/scripts/CH01/072/content/assembled.md,,,投稿済み,,60,,,,,,,,"Aug 4, 2024",,,,,,workspaces/scripts/CH01/072/content/assembled.md,,,,,,,,,kata1,
73,CH01,73,CH01-073,03HwgoB82Ts,去る人を追ってはならない決定的な理由 | ブッダの教え | 仏教の教え,workspaces/scripts/CH01/073/content/assembled.md,,,投稿済み,,62,,,,,,,,"Aug 9, 2024",,,,,,workspaces/scripts/CH01/073/content/assembled.md,,,,,,,,,kata2,
74,CH01,74,CH01-074,Jtec6uYDiZA,どんな時でも幸せでいる方法 | ブッダの教え | 仏教の教え,workspaces/scripts/CH01/074/content/assembled.md,,,投稿済み,,57,,,,,,,,"Aug 15, 2024",,,,,,workspaces/scripts/CH01/074/content/assembled.md,,,,,,,,,kata2,
75,CH01,75,CH01-075,9r0x45anreQ,【損します】いい顔ばかりして疲れがちな人へ | ブッダの教え | 仏教の教え |,workspaces/scripts/CH01/075/content/assembled.md,,,投稿済み,,66,,,,,,,,"Aug 17, 2024",,,,,,workspaces/scripts/CH01/075/content/assembled.md,,,,,,,,,kata3,
76,CH01,76,CH01-076,eLwIaeJxLzo,【無言の人はなぜ最強なのか】仏教から学ぶ「沈黙の力」と「適切な言葉の使用」 | ブッダの教え,workspaces/scripts/CH01/076/content/assembled.md,,,投稿済み,,75,,,,,,,,"Aug 19, 2024",,,,,,workspaces/scripts/CH01/076/content/assembled.md,,,,,,,,,kata3,
77,CH01,77,CH01-077,pEnkH_aY_NQ,時間を無駄にしない無敵の思考 | ブッダの教え | 仏教【八正道】,workspaces/scripts/CH01/077/content/assembled.md,,,投稿済み,,60,,,,,,,,"Aug 21, 2024",,,,,,workspaces/scripts/CH01/077/content/assembled.md,,,,,,,,,kata1,
78,CH01,78,CH01-078,eVTkBa-HyEU,「頭いい人」と「頭悪い人」はココが決定的に違う | ブッダの教え,workspaces/scripts/CH01/078/content/assembled.md,,,投稿済み,,61,,,,,,,,"Aug 22, 2024",,,,,,workspaces/scripts/CH01/078/content/assembled.md,,,,,,,,,kata3,
79,CH01,79,CH01-079,GJI5wi9XHA0,大切なものを失う前に絶対に気付くべきこと | ブッダの教え | 人間関係【愛別離苦】,workspaces/scripts/CH01/079/content/assembled.md,,,投稿済み,,69,,,,,,,,"Aug 23, 2024",,,,,,workspaces/scripts/CH01/079/content/assembled.md,,,,,,,,,kata1,
80,CH01,80,CH01-080,5GsR2AYNt7U,「自分の価値」を高めるには？ | ブッダの教え【禅の言葉 - 自己肯定感】,workspaces/scripts/CH01/080/content/assembled.md,,,投稿済み,,64,,,,,,,,"Aug 29, 2024",,,,,,workspaces/scripts/CH01/080/content/assembled.md,,,,,,,,,kata1,
81,CH01,81,CH01-081,LGEDvjuchqw,【４種類の悪友】こんな奴らとは縁を切れ | ブッダの教え,workspaces/scripts/CH01/081/content/assembled.md,,,投稿済み,,57,,,,,,,,"Sep 2, 2024",,,,,,workspaces/scripts/CH01/081/content/assembled.md,,,,,,,,,kata2,
82,CH01,82,CH01-082,0hlY4d6MjF0,【衝撃】徳が高い人はなぜ嫌われるのか？ | ブッダの教え | 仏教の教え,workspaces/scripts/CH01/082/content/assembled.md,,,投稿済み,,63,,,,,,,,"Sep 5, 2024",,,,,,workspaces/scripts/CH01/082/content/assembled.md,,,,,,,,,kata1,
83,CH01,83,CH01-083,Ye3SmHqJlgM,【努力は報われない？】努力よりよっぽど大切なこと | ブッダの教え | 仏教の教え,workspaces/scripts/CH01/083/content/assembled.md,,,投稿済み,,68,,,,,,,,"Sep 8, 2024",,,,,,workspaces/scripts/CH01/083/content/assembled.md,,,,,,,,,kata1,
84,CH01,84,CH01-084,636mLobJMeM,【疲れが劇的に改善】心と体が最高に整う４つの法則 | ブッダの教え【バグった自律神経を整える】,workspaces/scripts/CH01/084/content/assembled.md,,,投稿済み,,76,,,,,,,,"Sep 9, 2024",,,,,,workspaces/scripts/CH01/084/content/assembled.md,,,,,,,,,kata3,
85,CH01,85,CH01-085,7DW2h00uOB8,【今すぐ捨てなきゃヤバい】他人の人生を生きても良いことありません | ブッダの教え【３つの質問で解決】,workspaces/scripts/CH01/085/content/assembled.md,,,投稿済み,,80,,,,,,,,"Sep 11, 2024",,,,,,workspaces/scripts/CH01/085/content/assembled.md,,,,,,,,,kata2,
86,CH01,86,CH01-086,FYCvrouzo3k,【ダメ絶対】器が大きい人ほどやらないこと | ブッダの教え | 仏教の教え【後悔しないために】,workspaces/scripts/CH01/086/content/assembled.md,,,投稿済み,,74,,,,,,,,"Sep 12, 2024",,,,,,workspaces/scripts/CH01/086/content/assembled.md,,,,,,,,,kata3,
87,CH01,87,CH01-087,RtjxkXQ4UQI,【シンプルで最強】人生に迷わなくなる４つの生き方 | ブッダの教え,workspaces/scripts/CH01/087/content/assembled.md,,,投稿済み,,62,,,,,,,,"Sep 14, 2024",,,,,,workspaces/scripts/CH01/087/content/assembled.md,,,,,,,,,kata3,
88,CH01,88,CH01-088,Dn51B3sRT_4,【９割が忘れていること】人生を変える一瞬の思考法 | ブッダの教え,workspaces/scripts/CH01/088/content/assembled.md,,,投稿済み,,62,,,,,,,,"Sep 18, 2024",,,,,,workspaces/scripts/CH01/088/content/assembled.md,,,,,,,,,kata3,
89,CH01,89,CH01-089,auhyA-QXFvE,【危険】性根腐った人間の特徴と対処法 | ブッダの教え,workspaces/scripts/CH01/089/content/assembled.md,,,投稿済み,,56,,,,,,,,"Sep 21, 2024",,,,,,workspaces/scripts/CH01/089/content/assembled.md,,,,,,,,,kata3,
90,CH01,90,CH01-090,yyTyOwVe_V4,【必見】心穏やかな暮らしが実現する４つの極意 | ブッダの教え | 仏教の教え,workspaces/scripts/CH01/090/content/assembled.md,,,投稿済み,,66,,,,,,,,"Sep 25, 2024",,,,,,workspaces/scripts/CH01/090/content/assembled.md,,,,,,,,,kata2,
