No.,チャンネル,動画番号,動画ID,台本番号,タイトル,進捗,作成フラグ,台本,品質チェック結果,文字数,更新日時,サムネタイトル上,サムネタイトル下,サムネ画像プロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,DALL-Eプロンプト（URL・テキスト指示込み）,台本本文（冒頭サンプル）,音声整形,音声検証,音声生成,音声品質,納品,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,内容,動画内挿絵AI向けプロンプト（10個）,内容（企画要約）,台本パス,GPT用プロンプト（日本人シニア女性）,台本本文,GPT用プロンプト（日本人シニア女性）_1,悩みタグ_メイン,悩みタグ_サブ,ライフシーン,キーコンセプト,ベネフィット一言,たとえ話イメージ,説明文_リード,説明文_この動画でわかること,タイトル_サニタイズ
16,CH06,16,CH06-016,CH06-016,【封印された巨大古墳】仁徳天皇陵はなぜ掘れない,投稿済み,,workspaces/scripts/CH06/016/content/assembled.md,✅完了,5845,2025-12-17T13:49:31.816410Z,神の兵器アーク,テンプル騎士団の遺産,映画『インディ・ジョーンズ』でも有名なテーマ。宗教、歴史、冒険ロマンを兼ね備えた人気コンテンツ。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, the Ark of the Covenant sitting in a dark, ancient stone vault, glowing intensely with golden light, intricate carvings on the walls, dramatic shafts of light from above, style of Indiana Jones, ultra realistic, 8k --ar 16:9",,済,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,投稿済み 2025-12-17,,,,,,,,workspaces/scripts/CH06/016/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【封印された巨大古墳】仁徳天皇陵はなぜ掘れない
17,CH06,17,CH06-017,CH06-017,【地底世界】地球空洞説―足元に「別文明」はあるのか,投稿済み,,workspaces/scripts/CH06/017/content/assembled.md,✅完了,6768,2025-12-17T13:49:32.713659Z,決して開けてはならない,天皇陵の謎,日本史ミステリーの中でも特に神秘性とタブー性の高いテーマ。知的好奇心を強く刺激する。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a massive, keyhole-shaped kofun tomb at twilight, covered in a dense, dark forest, a single Shinto torii gate stands at the entrance, shrouded in mist, an ominous aura, ultra realistic, 8k --ar 16:9",,済,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,投稿済み 2025-12-17,,,,,,,,workspaces/scripts/CH06/017/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【地底世界】地球空洞説―足元に「別文明」はあるのか
18,CH06,18,CH06-018,CH06-018,【予言は終わっていない】ノストラダムス―恐怖の真意,投稿済み,,workspaces/scripts/CH06/018/content/assembled.md,✅完了,7697,2025-12-17T13:49:33.862758Z,海底に眠るピラミッド,与那国島の謎,日本国内のミステリースポット。ムー大陸やアトランティス伝説と絡めて、壮大な物語を展開できる。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a vast, underwater pyramid-like structure, massive stone steps covered in coral, schools of fish swimming around, sunlight filtering through the deep blue water, a lone scuba diver looking up in awe, ultra realistic, 8k --ar 16:9",,済,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,投稿済み 2025-12-17,,,,,,,,workspaces/scripts/CH06/018/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【予言は終わっていない】ノストラダムス―恐怖の真意
19,CH06,19,CH06-019,CH06-019,【火星の顔】NASAが否定した「文明の痕跡」,投稿済み,,workspaces/scripts/CH06/019/content/assembled.md,✅完了,7597,2025-12-17T13:49:35.046804Z,地球は空洞だった,北極に存在する巨大な穴,古典的だが根強い人気を誇るテーマ。壮大なロマンと陰謀論のバランスが良く、寝落ち層に最適。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a breathtaking view of the North Pole from space, but there is a massive, perfectly circular opening at the pole, glowing with a warm light from within, aurora borealis swirling around the hole, stars in the background, ultra realistic, 8k --ar 16:9",,済,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,投稿済み 2025-12-17,,,,,,,,workspaces/scripts/CH06/019/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【火星の顔】NASAが否定した「文明の痕跡」
20,CH06,20,CH06-020,CH06-020,【消された神々】日本神話のタブー―塗りつぶされたページ,投稿済み,,workspaces/scripts/CH06/020/content/assembled.md,✅完了,7552,2025-12-17T13:49:36.753913Z,予言は終わっていない,2025年、本当の恐怖,ベンチマークで実績のある「2025年」と、最も有名な「ノストラダムス」を組み合わせる鉄板企画。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a dark, dusty attic room, an ancient, large prophecy book is open on a table, the pages are filled with cryptic text and symbols, a single candle illuminates the page that mentions ""2025"", skulls and hourglasses in the background, ultra realistic, 8k --ar 16:9",,済,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,投稿済み 2025-12-17,,,,,,,,workspaces/scripts/CH06/020/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【消された神々】日本神話のタブー―塗りつぶされたページ
21,CH06,21,CH06-021,CH06-021,【月は人工物か】ムーンマトリックス―行けない理由,投稿済み,,workspaces/scripts/CH06/021/content/assembled.md,✅完了,7641,2025-12-17T13:49:37.742245Z,NASAが隠蔽,火星の人面岩,ベンチマークで人気の「火星」テーマ。イーロン・マスクの計画と絡めることで、現代的な陰謀論として展開。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, the desolate red landscape of Mars, the mysterious ""Face on Mars"" (Cydonia) is visible, but it looks more artificial and defined, like a weathered statue, two suns (if applicable, or just a dramatic sky) in the background, an astronaut figure looking at it from a distance, ultra realistic, 8k --ar 16:9",,済,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,投稿済み 2025-12-17,,,,,,,,workspaces/scripts/CH06/021/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【月は人工物か】ムーンマトリックス―行けない理由
22,CH06,22,CH06-022,CH06-022,【モアイの警告】イースター島が辿った「文明崩壊」,投稿済み,,workspaces/scripts/CH06/022/content/assembled.md,✅完了,7633,2025-12-17T13:49:39.031925Z,古事記から消された,日本最古の神アラハバキ,ベンチマークでヒットした「日本の謎」テーマの深掘り。神秘的で権威的ながら、タブーに触れる内容で視聴者を惹きつける。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a dark, ancient forest in Japan, a mysterious, primitive stone idol or shrine (like a Jomon artifact) glowing with a powerful red aura, shrouded in mist, ancient straw ropes (shimenawa) hanging from the trees, ultra realistic, 8k --ar 16:9",,済,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,投稿済み 2025-12-17,,,,,,,,workspaces/scripts/CH06/022/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【モアイの警告】イースター島が辿った「文明崩壊」
23,CH06,23,CH06-023,CH06-023,【公式発表の嘘】JFK暗殺―消された真犯人,投稿済み,,workspaces/scripts/CH06/023/content/assembled.md,✅完了,7709,2025-12-17T13:49:40.145673Z,月は巨大な監視装置,ムーンマトリックス理論,ベンチマーク最強テーマ「月は人工物」の発展形。陰謀論の中でも特に壮大でSF的なテーマで、寝落ち層に強いインパクトを与える。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, the Moon in the night sky, but its surface is peeling away, revealing a complex, glowing metallic structure underneath, like a giant machine or satellite, Earth is visible in the distance, dramatic, ominous lighting, ultra realistic, 8k --ar 16:9",,済,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,投稿済み 2025-12-17,,,,,,,,workspaces/scripts/CH06/023/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【公式発表の嘘】JFK暗殺―消された真犯人
24,CH06,24,CH06-024,CH06-024,【絶対に覗くな】ダークウェブ―最深部の闇市場,投稿済み,,workspaces/scripts/CH06/024/content/assembled.md,✅完了,7106,2025-12-17T13:49:41.551938Z,モアイはなぜ倒された,イースター島の謎,誰もが知るミステリースポットを深掘り。文明の崩壊というテーマで、現代社会への警鐘も匂わせる。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a dramatic view of Easter Island's Moai statues at sunset, all statues are facing inland, but one statue in the foreground is toppled over, its face half-buried in the ground, the sky is a deep orange and purple, ultra realistic, 8k --ar 16:9",,済,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,投稿済み 2025-12-17,,,,,,,,workspaces/scripts/CH06/024/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【絶対に覗くな】ダークウェブ―最深部の闇市場
25,CH06,25,CH06-025,CH06-025,【痕跡なき大爆発】ツングースカ―正体不明の空中爆発,投稿済み,,workspaces/scripts/CH06/025/content/assembled.md,✅完了,7615,2025-12-17T13:49:42.647640Z,奇跡か、捏造か,トリノの聖骸布,宗教ミステリーの中でも特に科学的な論争が続くテーマ。信仰と科学の対立を描き、知的な探求心を刺激する。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a close-up of the Shroud of Turin, the faint image of a face is visible on the ancient cloth, a single beam of scientific light (like a laser) is scanning across it, revealing hidden 3D data, in a dark laboratory, ultra realistic, 8k --ar 16:9",,済,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,完了 (forced) 2025-12-17,投稿済み 2025-12-17,,,,,,,,workspaces/scripts/CH06/025/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【痕跡なき大爆発】ツングースカ―正体不明の空中爆発
