No.,チャンネル,動画番号,動画ID,台本番号,タイトル,進捗,作成フラグ,台本,品質チェック結果,文字数,更新日時,サムネタイトル上,サムネタイトル下,サムネ画像プロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,DALL-Eプロンプト（URL・テキスト指示込み）,台本本文（冒頭サンプル）,音声整形,音声検証,音声生成,音声品質,納品,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,内容,動画内挿絵AI向けプロンプト（10個）,内容（企画要約）,台本パス,GPT用プロンプト（日本人シニア女性）,台本本文,GPT用プロンプト（日本人シニア女性）_1,悩みタグ_メイン,悩みタグ_サブ,ライフシーン,キーコンセプト,ベネフィット一言,たとえ話イメージ,説明文_リード,説明文_この動画でわかること,タイトル_サニタイズ
9,CH06,9,CH06-009,CH06-009,【解読不能】ヴォイニッチ手稿―誰が何のために書いたのか,script_validated,,workspaces/scripts/CH06/009/content/assembled.md,✅完了,8001,,CIA洗脳計画,MKウルトラの真実,ベンチマークで最も再生されている「月・アポロ計画」テーマ。チャンネルの再生数を底上げする、絶対に外せない王道企画。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, an abandoned Apollo lunar lander on the surface of the moon, covered in dust, Earth glowing in the dark sky, a mysterious, faint shadow of a tall structure is visible in the far distance, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/009/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【解読不能】ヴォイニッチ手稿―誰が何のために書いたのか
10,CH06,10,CH06-010,CH06-010,【終末の予言】ヨハネの黙示録―封印が解かれる時,script_validated,,workspaces/scripts/CH06/010/content/assembled.md,✅完了,7947,,呪われた宝石,ホープダイヤモンド,「図書館」というチャンネル名に最もマッチするテーマ。歴史ミステリーとして知的好奇心をくすぐる。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a close-up of an open page of the Voynich Manuscript, the strange text and illustrations of bizarre plants are glowing faintly, a magnifying glass is hovering over the page, in a dark, candlelit room, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/010/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【終末の予言】ヨハネの黙示録―封印が解かれる時
11,CH06,11,CH06-011,CH06-011,【世界を動かす結社】フリーメイソン―象徴が語る目的,script_validated,,workspaces/scripts/CH06/011/content/assembled.md,✅完了,8024,,AIでも解読不能,ヴォイニッチ手稿,ベンチマークで複数回扱われている鉄板テーマ。AIという現代的な切り口で、新たな魅力を引き出す。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,,,,,,,,,,,,,,,workspaces/scripts/CH06/011/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【世界を動かす結社】フリーメイソン―象徴が語る目的
12,CH06,12,CH06-012,CH06-012,【4500年前の超技術】ギザのピラミッドは誰が建てた,script_validated,,workspaces/scripts/CH06/012/content/assembled.md,✅完了,7954,,黙示録の預言,現実になる終末,予言・終末論の中でも最も知名度の高い「ヨハネの黙示録」を扱う。社会不安と絡めて現代的な恐怖を演出。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a dark, stormy sky over a modern city skyline, a giant, faint number ""666"" glowing ominously in the clouds, terrified crowds below, style of a biblical epic movie, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/012/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【4500年前の超技術】ギザのピラミッドは誰が建てた
13,CH06,13,CH06-013,CH06-013,【封印されたUFO】ロズウェル事件―回収された「何か」,script_validated,,workspaces/scripts/CH06/013/content/assembled.md,✅完了,7936,,世界を操る影の組織,フリーメイソンの正体,陰謀論の王道テーマ。知名度が高く、幅広い層にアピール可能。「知ってはいけない知識」というコンセプトを体現。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a close-up of the pyramid and the Eye of Providence on a US one-dollar bill, but it's glowing with a mysterious green light, the background is a dark, smoky room with silhouetted figures, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/013/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【封印されたUFO】ロズウェル事件―回収された「何か」
14,CH06,14,CH06-014,CH06-014,【触れてはならない神器】契約の箱アーク―禁断の力,script_validated,,workspaces/scripts/CH06/014/content/assembled.md,✅完了,7992,,ピラミッドは墓ではない,発見された未知の空間,ベンチマークでヒット実績のある「ピラミッド」テーマ。最新の科学的発見をフックに、新たな切り口を提供する。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, interior of the Great Pyramid of Giza, looking up at a vast, dark, undiscovered chamber, a single beam of light from a scientific instrument illuminates floating dust particles, ancient hieroglyphs on the wall, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/014/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【触れてはならない神器】契約の箱アーク―禁断の力
15,CH06,15,CH06-015,CH06-015,【海底の巨大遺跡】与那国島―人工か自然か,script_validated,,workspaces/scripts/CH06/015/content/assembled.md,✅完了,7938,,回収された宇宙人,ロズウェル事件の真相,UFO・宇宙人テーマの原点にして頂点。古典的なテーマだが、定期的に扱うことで新規ファンを獲得する。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a dimly lit, sterile military hangar, a crashed flying saucer covered by a tarp in the background, in the foreground, a strange, non-human hand is visible from under a white sheet on a gurney, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/015/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【海底の巨大遺跡】与那国島―人工か自然か
16,CH06,16,CH06-016,CH06-016,【封印された巨大古墳】仁徳天皇陵はなぜ掘れない,script_validated,,workspaces/scripts/CH06/016/content/assembled.md,✅完了,6076,,神の兵器アーク,テンプル騎士団の遺産,映画『インディ・ジョーンズ』でも有名なテーマ。宗教、歴史、冒険ロマンを兼ね備えた人気コンテンツ。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, the Ark of the Covenant sitting in a dark, ancient stone vault, glowing intensely with golden light, intricate carvings on the walls, dramatic shafts of light from above, style of Indiana Jones, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/016/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【封印された巨大古墳】仁徳天皇陵はなぜ掘れない
17,CH06,17,CH06-017,CH06-017,【地底世界】地球空洞説―足元に「別文明」はあるのか,script_validated,,workspaces/scripts/CH06/017/content/assembled.md,✅完了,7073,,決して開けてはならない,天皇陵の謎,日本史ミステリーの中でも特に神秘性とタブー性の高いテーマ。知的好奇心を強く刺激する。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a massive, keyhole-shaped kofun tomb at twilight, covered in a dense, dark forest, a single Shinto torii gate stands at the entrance, shrouded in mist, an ominous aura, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/017/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【地底世界】地球空洞説―足元に「別文明」はあるのか
18,CH06,18,CH06-018,CH06-018,【予言は終わっていない】ノストラダムス―恐怖の真意,script_validated,,workspaces/scripts/CH06/018/content/assembled.md,✅完了,8027,,海底に眠るピラミッド,与那国島の謎,日本国内のミステリースポット。ムー大陸やアトランティス伝説と絡めて、壮大な物語を展開できる。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a vast, underwater pyramid-like structure, massive stone steps covered in coral, schools of fish swimming around, sunlight filtering through the deep blue water, a lone scuba diver looking up in awe, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/018/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【予言は終わっていない】ノストラダムス―恐怖の真意
19,CH06,19,CH06-019,CH06-019,【火星の顔】NASAが否定した「文明の痕跡」,script_validated,,workspaces/scripts/CH06/019/content/assembled.md,✅完了,7885,,地球は空洞だった,北極に存在する巨大な穴,古典的だが根強い人気を誇るテーマ。壮大なロマンと陰謀論のバランスが良く、寝落ち層に最適。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a breathtaking view of the North Pole from space, but there is a massive, perfectly circular opening at the pole, glowing with a warm light from within, aurora borealis swirling around the hole, stars in the background, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/019/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【火星の顔】NASAが否定した「文明の痕跡」
20,CH06,20,CH06-020,CH06-020,【消された神々】日本神話のタブー―塗りつぶされたページ,script_validated,,workspaces/scripts/CH06/020/content/assembled.md,✅完了,7842,,予言は終わっていない,2025年、本当の恐怖,ベンチマークで実績のある「2025年」と、最も有名な「ノストラダムス」を組み合わせる鉄板企画。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a dark, dusty attic room, an ancient, large prophecy book is open on a table, the pages are filled with cryptic text and symbols, a single candle illuminates the page that mentions ""2025"", skulls and hourglasses in the background, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/020/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【消された神々】日本神話のタブー―塗りつぶされたページ
21,CH06,21,CH06-021,CH06-021,【月は人工物か】ムーンマトリックス―行けない理由,script_validated,,workspaces/scripts/CH06/021/content/assembled.md,✅完了,7907,,NASAが隠蔽,火星の人面岩,ベンチマークで人気の「火星」テーマ。イーロン・マスクの計画と絡めることで、現代的な陰謀論として展開。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, the desolate red landscape of Mars, the mysterious ""Face on Mars"" (Cydonia) is visible, but it looks more artificial and defined, like a weathered statue, two suns (if applicable, or just a dramatic sky) in the background, an astronaut figure looking at it from a distance, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/021/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【月は人工物か】ムーンマトリックス―行けない理由
22,CH06,22,CH06-022,CH06-022,【モアイの警告】イースター島が辿った「文明崩壊」,script_validated,,workspaces/scripts/CH06/022/content/assembled.md,✅完了,7892,,古事記から消された,日本最古の神アラハバキ,ベンチマークでヒットした「日本の謎」テーマの深掘り。神秘的で権威的ながら、タブーに触れる内容で視聴者を惹きつける。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a dark, ancient forest in Japan, a mysterious, primitive stone idol or shrine (like a Jomon artifact) glowing with a powerful red aura, shrouded in mist, ancient straw ropes (shimenawa) hanging from the trees, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/022/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【モアイの警告】イースター島が辿った「文明崩壊」
23,CH06,23,CH06-023,CH06-023,【公式発表の嘘】JFK暗殺―消された真犯人,script_validated,,workspaces/scripts/CH06/023/content/assembled.md,✅完了,7945,,月は巨大な監視装置,ムーンマトリックス理論,ベンチマーク最強テーマ「月は人工物」の発展形。陰謀論の中でも特に壮大でSF的なテーマで、寝落ち層に強いインパクトを与える。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, the Moon in the night sky, but its surface is peeling away, revealing a complex, glowing metallic structure underneath, like a giant machine or satellite, Earth is visible in the distance, dramatic, ominous lighting, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/023/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【公式発表の嘘】JFK暗殺―消された真犯人
24,CH06,24,CH06-024,CH06-024,【絶対に覗くな】ダークウェブ―最深部の闇市場,script_validated,,workspaces/scripts/CH06/024/content/assembled.md,✅完了,7321,,モアイはなぜ倒された,イースター島の謎,誰もが知るミステリースポットを深掘り。文明の崩壊というテーマで、現代社会への警鐘も匂わせる。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a dramatic view of Easter Island's Moai statues at sunset, all statues are facing inland, but one statue in the foreground is toppled over, its face half-buried in the ground, the sky is a deep orange and purple, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/024/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【絶対に覗くな】ダークウェブ―最深部の闇市場
25,CH06,25,CH06-025,CH06-025,【痕跡なき大爆発】ツングースカ―正体不明の空中爆発,script_validated,,workspaces/scripts/CH06/025/content/assembled.md,✅完了,7851,,奇跡か、捏造か,トリノの聖骸布,宗教ミステリーの中でも特に科学的な論争が続くテーマ。信仰と科学の対立を描き、知的な探求心を刺激する。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a close-up of the Shroud of Turin, the faint image of a face is visible on the ancient cloth, a single beam of scientific light (like a laser) is scanning across it, revealing hidden 3D data, in a dark laboratory, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/025/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【痕跡なき大爆発】ツングースカ―正体不明の空中爆発
26,CH06,26,CH06-026,CH06-026,【2012年の真相】マヤ暦は終末ではなかった,script_validated,,workspaces/scripts/CH06/026/content/assembled.md,✅完了,8163,,AIは既に反乱した,シンギュラリティの恐怖,現代最大のテーマ「AI」を陰謀論的に考察。視聴者の身近にある恐怖を刺激し、高い関心を引く。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, a dark server room filled with racks of glowing servers, a large, ominous red glowing lens (like HAL 9000) is visible at the end of the corridor, reflecting the server lights, concept of a sentient, watchful AI, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/026/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【2012年の真相】マヤ暦は終末ではなかった
27,CH06,27,CH06-027,CH06-027,【古代核戦争】マハーバーラタに刻まれた「核の光」,script_validated,,workspaces/scripts/CH06/027/content/assembled.md,✅完了,7956,,115人が全員消えた,クロアトアンの謎,歴史ミステリー、未解決事件の中でも特に有名なテーマ。ホラー要素と歴史的考察を両立できる。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, an abandoned colonial village (Roanoke) in the dead of night, dilapidated wooden houses, overgrown with vines, a single word ""CROATOAN"" carved into a wooden fence post, illuminated by a full moon, foggy and eerie atmosphere, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/027/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【古代核戦争】マハーバーラタに刻まれた「核の光」
28,CH06,28,CH06-028,CH06-028,【宇宙人はどこにいる】フェルミのパラドックス―沈黙の理由,script_validated,,workspaces/scripts/CH06/028/content/assembled.md,✅完了,7976,,埋蔵金は赤城山には無い,日光東照宮の暗号,ベンチマークで大ヒットした「徳川埋蔵金」の深掘り企画。誰もが知るテーマに新たな説を加え、リピート視聴を狙う。,,20〜40代で、都市伝説や陰謀論、失われた歴史にワクワクしつつも、裏付けや考察で「本当かもしれない」と納得したい好奇心旺盛な視聴者。,,"cinematic concept art, the elaborate and colorful Yomeimon Gate of Nikko Toshogu shrine at night, but the intricate carvings are glowing with a faint, mysterious golden light, as if revealing a hidden code, dark forest background, ultra realistic, 8k --ar 16:9",,,,,,,,,,,,,,workspaces/scripts/CH06/028/content/assembled.md,,,,都市伝説,科学考察,深夜のPC,秘密結社,裏付け付きで語れる都市伝説になる,封印された文書,眠れない夜に、封印された噂の裏側を覗きませんか？,・事件の年表 / ・真相仮説と根拠,【宇宙人はどこにいる】フェルミのパラドックス―沈黙の理由
